003208-16-0	000066-25-1	006728-26-3	003777-69-3	000110-93-0	000928-96-1	000064-19-7	004313-03-5	000432-25-7	000142-62-1	000100-51-6	000060-12-8	000079-77-6	023267-57-4	000502-69-2	000112-05-0	000112-39-0	015356-74-8	000544-76-3	000629-78-7	000295-48-7	000593-45-3	000112-95-8	000629-94-7	024157-81-1	027185-77-9	000143-07-7	017455-13-9	000067-68-5	000105-76-0	000628-97-7	000084-69-5	000058-08-2	000629-59-4	000629-73-2	013360-61-7	000112-88-9	014901-07-6	000000-00-0	038640-62-9	000119-61-9	005989-02-6	001120-36-1	000294-62-2	000334-48-5	000580-51-8	000544-63-8	000057-10-3	000100-52-7	000119-36-8	000124-07-2	000544-12-7	000475-20-7	018435-45-5	000128-37-0	000096-76-4	038284-27-4	000590-86-3	089816-98-8	000138-86-3	000934-62-3	000079-09-4	077130-65-5	030364-38-6	054446-78-5	001203-08-3	020189-42-8	004219-24-3	000629-62-9	000080-57-9	000110-27-0	000295-02-3	000122-99-6	024851-98-7	000131-11-3	000084-66-2	000090-43-7	001599-68-4	001502-38-1	000761-65-9	036653-82-4	001222-05-5	025154-52-3	000084-74-2	000083-67-0	001576-95-0	041446-53-1	000112-34-5	000127-41-3	000071-41-0	035507-09-6	000087-66-1	000930-30-3	000600-28-2	000098-00-0	001196-01-6	000080-71-7	000108-95-2	000106-44-5	007786-61-0	005932-68-3	000109-00-2	000120-72-9	000934-00-9	000120-80-9	000079-01-6	002462-84-2	005989-54-8	002437-56-1	006846-50-0	000535-77-3	026444-18-8	010482-56-1	000460-01-5	003779-61-1	000527-84-4	000586-62-9	001195-32-0	000078-70-6	000098-55-5	000502-61-4	000075-18-3	000586-63-0	029714-87-2	000517-22-6	000111-14-8	021494-57-5	091186-43-5	000123-35-3	000502-99-8	000673-84-7	000099-87-6	001587-04-8	000087-44-5	000629-92-5	000112-63-0	000301-00-8	005129-60-2	001120-25-8	006929-04-0	000112-61-8	056599-58-7	006975-98-0	057396-98-2	007361-80-0	017699-05-7	000495-60-3	000483-76-1	000644-30-4	021653-33-8	000645-72-7	074663-85-7	000491-07-6	002216-51-5	000112-72-1	078996-11-9	000470-82-6	041446-78-0	026528-50-7	000115-95-7	000080-26-2	056771-77-8	Class
0.3465	2.8335	0.4709	0.8337	0.576	0.3571	5.4291	0.7387	0.8522	2.5326	1.3688	1.546	4.4245	1.5779	3.9067	0.9519	1.358	14.6794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.8453	0.216	0.3126	0.2391	0	5.9588	0	0	0	2.6388	0	2.6166	1.4944	4.731	0	0.9714	13.4805	1.2334	1.1273	0.275	1.2666	0.8286	0.4372	2.0827	0.7046	3.562	1.3928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.1435	0.8035	0.1725	0.2347	0	0	3.4313	0	0.2587	0	0.956	0.6581	1.8313	0.6587	2.7396	0	0.8989	8.6495	0.3192	0	0	0.3564	0	0	0.8928	0	1.0391	1.4251	0.351	0.9603	0.7053	13.4928	15.7733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.7501	0.1499	0.3029	0	0	3.0446	0	0	0	1.3751	0	0	0	5.4413	0	0.9645	7.486	0.6602	0.6964	0.182	0.8083	0	0	4.3476	0	1.192	0.1663	0	0	0	10.2315	23.252	0.0981	1.004	0.1276	0.2359	0.6149	0.8951	1.8668	1.468	1.4078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.1067	0.5635	0.1485	0.1694	0.1064	0	2.401	0	0	0	0.5789	0	0.7859	0	2.9802	0	1.2569	8.3859	0.7327	0.4693	0	0.5817	0.2843	0.3187	5.1019	0	7.0328	1.5404	0	0	0	0	9.4943	0	0	0.7411	0	0	0	0	0	0	0.5409	0.1477	6.1035	1.4014	2.401	2.9558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.1303	1.2962	0.179	0.3559	0.2762	0	3.6668	0	0.2455	5.5568	1.0305	0.6133	1.749	0.8983	2.705	1.122	1.0738	7.9584	0	0	0	0	0	0	0	0	3.8161	2.1692	0	0	0	0	20.3019	0	0	0	0	0	0	0.8854	0	0.9004	0	0	4.6235	0	0	4.2243	0.9606	0.2334	0.3398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.6756	0.1596	0.1855	0.1307	0	2.6807	0	0	0	0.544	0	0.6252	0	3.6303	0	1.2955	7.6278	0.7593	0	0	0.5975	0	0	4.6657	0	1.7361	2.0782	0	0	0	0	14.8048	0	0.6411	0	0	0	1.8816	0.892	2.1815	0	0	0	0	0	0	3.076	0	0	0	0.1003	0.2207	0.1052	1.1008	2.3652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.2182	1.6058	0.4503	0.3842	0.2826	0	3.7046	0.4584	0.7139	2.0378	1.6562	1.2289	2.4992	0.9363	2.6775	0	0.9979	9.1396	0	0	0	0	0	0	0	0	2.5919	0.5853	0	0	0	0	20.9464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3034	0	0	0	0	0.3039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.3787	2.0605	0.5588	0.4688	0	0.3725	4.3055	0	0	0	1.555	1.5246	0	1.0407	0	1.5545	1.3537	12.048	1.2271	0	0	0.4285	0	0	0	0	0	1.1923	0	0	0	0	0	0	1.6886	0	0	2.5823	1.0627	1.4731	0	0	0	0	0	0	0	0	0	0	0	0	0.4867	0	0	0	0	0.3765	0.5554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	1.6292	0.3842	0.3923	0.2959	0.3865	3.8352	0.4401	1.3486	2.4393	1.8656	0	2.7549	0	2.7967	1.0302	1.441	9.8741	0.3979	0	0	0	0	0	0	0	2.4777	4.4521	0	0	0	0	12.8863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5782	0	0	0	0	0	0	1.3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
