001574-41-0	000078-79-5	018631-83-9	000066-25-1	006728-26-3	000591-93-5	000592-46-1	000142-08-5	000100-52-7	086921-32-6	018968-23-5	000098-86-2	000100-51-6	000095-16-9	000108-95-2	000128-37-0	000110-62-3	000124-13-0	000110-93-0	000928-96-1	000000-00-0	001222-05-5	000504-60-9	000124-19-6	030086-02-3	001472-09-9	000544-76-3	000629-73-2	000091-20-3	038640-62-9	024157-81-1	003208-16-0	000098-01-1	000502-99-8	038284-27-4	000098-00-0	000119-36-8	000554-61-0	000079-77-6	000060-12-8	000592-48-3	003387-41-5	000096-09-3	000475-03-6	000586-62-9	000142-83-6	004313-03-5	017455-13-9	000534-22-5	004170-30-3	000112-31-2	074663-85-7	006108-61-8	018829-55-5	002454-31-1	000930-60-9	000090-02-8	036653-82-4	000096-54-8	000109-08-0	074663-86-8	000122-78-1	003796-70-1	014901-07-6	000872-05-9	000123-72-8	069668-89-9	000119-61-9	001120-56-5	000673-84-7	000138-86-3	003779-61-1	001576-95-0	024851-98-7	000078-70-6	002561-21-9	000432-25-7	000127-41-3	000110-54-3	020273-24-9	000293-96-9	000123-35-3	002548-87-0	000590-86-3	001120-36-1	035507-09-6	005989-54-8	075135-41-0	074663-88-0	000541-05-9	000580-51-8	000931-88-4	055669-96-0	000064-19-7	000108-38-3	000106-42-3	000591-49-1	000109-97-7	035373-06-9	000591-48-0	002080-89-9	031295-56-4	000629-78-7	000111-71-7	000108-88-3	029714-87-2	001120-73-6	001119-14-8	000124-11-8	006765-39-5	002437-56-1	000108-93-0	000100-41-4	002408-37-9	000079-01-6	037617-26-8	000112-95-8	001921-70-6	000629-62-9	000295-17-0	013360-61-7	000593-45-3	007098-21-7	000821-95-4	001330-20-7	000544-12-7	006874-10-8	005989-33-3	033100-27-5	001686-30-2	000099-86-5	000099-85-4	000535-77-3	027576-03-0	000141-12-8	000105-87-3	000471-84-1	000080-56-8	Class
2.9104	0	0	10.3488	6.7698	0	0	0	4.3595	0	0	0	0.6664	0.6613	1.0694	0	0	0	1.1619	1.6652	0	0	0	0	0	0	0	0	0	0	0	0.9808	10.2945	0	0	1.7476	0.4147	0	0	0.4664	0	0	0	0	0	0	4.3942	0.0697	0.5978	0	0	0	0	0	0	0	0.5334	0	1.4076	0.6577	0	0.6833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2279	0.2317	0.2703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
4.5123	0.6665	0	3.0956	1.2769	0	1.4537	0	8.2577	0	0	2.6186	1.42	1.4168	1.0491	4.0393	0	0	0	0	0	0	0	0	0	0	0	0	0.3611	0	0.2264	0.6394	1.1906	0	0	0	0.3618	0	0	0	0	0	0	0	4.4961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.307	0	0	0	0	0	0.2608	0.2145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5252	0.2889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
6.515	0	0	6.8551	0.9377	0	0	0	5.6586	0	0	0	0.8221	0.5186	0.705	1.286	1.3595	0	2.3638	4.0578	0	0	0	2.7913	0	0	0	0	0.3362	0	0.2708	0.8045	0	0	0	0	0	0	0	0.3083	0	0	0	0	1.3262	0	4.2365	0	0.1341	0	0	0	0	0	1.8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3985	0	0	0	0	0	0	0.8761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0	0	12.4536	1.1697	0	0	0	0	0	0	0	0	0	1.8949	1.9476	0	0	0	0	0.2227	0	0	0	0	0	0	0	0	0	0.4891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874	13.1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
7.6291	0	0	5.467	6.2485	0	0	0	6.6034	0	0	0	1.1105	0.4438	0.7	1.8038	0	0	1.8211	3.9564	0	0	0	1.7867	0	0	0	0	0.3516	0	0	0	0	0	0	0	0.124	0	0	0.4502	0	0	0	0	0.4966	0	3.3013	0	0	0.2377	1.2501	0	0	0	0	0	0	0	0	0	0	2.1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.9015	0	0	8.8477	4.2972	0	0	0	4.7	0	0	0	0.5459	0.561	1.415	0	0	0	1.3992	1.2062	0	0	0	0	0	0	0	0	0	0	0	0.815	10.936	0	0	3.4373	0.4612	0	0	0	0	0	0	0	0	0	0	0.9985	1.1281	0	0	0	0	0	0	2.1346	0.8437	0	1.0967	0.6315	0	0	0	0	0	0	0	0	0	0	0.1018	0	1.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
5.9395	0	1.0662	7.3563	14.7703	0	0	0	4.0163	0	0	0	0.7508	0	0.5658	1.4112	2.9307	0	0	3.0072	0	0	0	2.9453	0	0	0	0	0	0	0	1.9761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5076	1.491	3.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
4.9595	0	0	7.0379	12.2167	0	0	0	3.2395	0	0	0	0.0855	0.6243	1.4746	1.9607	2.5113	0	0.799	2.0674	0.4916	0	0	1.773	0	0	0	0	0	0	0	1.6744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9391	0	0.0963	0	2.0574	0	0	0.3653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.5104	0.5667	0	6.0514	2.5702	0	2.7373	1.8984	6.6573	0	0	0	0	0.9066	0.4471	0.1784	0.2646	0	0	0	1.0751	0	0	0	0	0	0.8116	0	0	0	0.3498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6975	2.1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
5.0644	0	0	18.2812	8.6076	0	0	0	3.2783	0	0	0	0	0.22	1.1483	0.6403	2.7832	0.7676	2.2218	1.6534	0	0.9339	0	0	0	0	0	0	0	0	0	1.525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8407	0	0	0	0	0	0	0.8753	0	0	0	0	0	0	0	0	0.3213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5762	0.2278	0.372	2.1309	0.397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
